id,Log ID,Link to Plant,Date,Year / Season,Quantity,Unit,Notes
3,H-2026-001,,08/19/2026,2026,5,,5 fruit (count)
4,H-2026-002,,08/19/2026,2026,5,,5 fruit (count)
5,H-2026-003,,08/19/2026,2026,1,,1 fruit (count)
6,H-2026-004,,08/19/2026,2026,5,,5 fruit (count)
7,H-2026-005,,08/19/2026,2026,5,,5 fruit (count)
8,H-2026-006,,08/19/2026,2026,5,,5 fruit (count)
9,H-2026-007,,08/19/2026,2026,19,,19 fruit (count)
10,H-2026-008,,08/19/2026,2026,6,,6 fruit (count)
13,H-2026-009,,08/19/2026,2026,1,,1 fruit (count)
14,H-2026-010,,08/19/2026,2026,3,,3 fruit (count)
