id,Plant ID,Variety Name,Species / Type,Family / Genus,Category,Status,Location,Date Planted,Date Started Indoors,Days to Maturity,Light,Notes,Seed Sources,Seed Sources - Parent A (Breeding),Seed Sources - Parent B (Breeding),Watering Logs,Fertilization Logs,Harvest Logs,Garden Notes,Tasks
37,PL-023,Garden Sage,Herb,,Perennial,Growing,LOC-05,,,,Full Sun,,,,,,,,,
38,PL-024,Eucalyptus #1,Herb,,Perennial,Growing,LOC-05,,,,Full Sun,,,,,,,,,
39,PL-025,Eucalyptus #2,Herb,,Perennial,Growing,LOC-05,,,,Full Sun,,,,,,,,,
40,PL-026,Stevia #1,Herb,,Perennial,Growing,LOC-05,,,,Full Sun,,,,,,,,,
41,PL-027,Stevia #2,Herb,,Perennial,Growing,LOC-05,,,,Full Sun,,,,,,,,,
42,PL-028,Sunburst Scallop Summer Squash,Squash,,Annual,Growing,LOC-07,,,,Full Sun,,SRC-022,,,,"FE-2026-031,FE-2026-065,FE-2026-095,FE-2026-001,FE-2026-004,FE-2026-010",,N-2026-001,
43,PL-029,Patio Baby Eggplant,Eggplant,,Annual,Growing,LOC-08,,,,Full Sun,,SRC-023,,,,"FE-2026-057,FE-2026-112,FE-2026-135,FE-2026-003,FE-2026-011,FE-2026-013",,,
44,PL-030,Raspberry,Fruit Bush,,Perennial,Growing,LOC-04,,,,Full Sun,,,,,,"FE-2026-070,FE-2026-006",,,
45,PL-031,Blueberry,Fruit Bush,,Perennial,Growing,LOC-04,,,,Full Sun,,,,,,,,,
46,PL-032,Fig,Fig,,Perennial,Growing,LOC-03,,,,Full Sun,Fill in variety,SRC-024,,,,"FE-2026-015,FE-2026-041,FE-2026-069,FE-2026-002,FE-2026-005,FE-2026-015",,,
47,PL-033,Tomatillo #1,Tomatillo,,Annual,Growing,LOC-09,,,,Full Sun,5 gallon,,,,,"FE-2026-032,FE-2026-066,FE-2026-001,FE-2026-004",,,
48,PL-034,Tomatillo #2,Tomatillo,,Annual,Growing,LOC-09,,,,Full Sun,5 gallon,,,,,"FE-2026-033,FE-2026-067,FE-2026-001,FE-2026-004",,,
51,PL-001,Grandma Kirksey,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
52,PL-002,Red Scotch Bonnet,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
53,PL-003,Italian Sweet,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
54,PL-004,Habanero,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
55,PL-005,Buffy Thai,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
56,PL-006,Arapaho Cayenne,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
57,PL-007,Fatalii,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
58,PL-008,King of the North Bell Pepper,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,10 gallon,,,,,,,,
59,PL-009,Purple Beauty Bell Pepper,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,10 gallon,,,,,,,,
60,PL-010,Carolina Reaper,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
61,PL-011,Aji Pineapple,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
62,PL-012,Mini Yellow Bell Pepper,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
63,PL-013,Golden Treasure,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
64,PL-014,Aji Fantasy,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon,,,,,,,,
65,PL-015,White Thai x Matapeno,Pepper,,Annual,Growing,LOC-02,05/03/2026,02/22/2026,,Full Sun,5 gallon - LATE START - free seed experiment from 3rd party seller (not my cross),,,,,,,,
66,PL-016,Sungold,Tomato,,Annual,Growing,LOC-01,04/15/2026,02/28/2026,,Full Sun,10 gallon - cherry,,,,,,,,
67,PL-017,Sweet Pea,Tomato,,Annual,Growing,LOC-01,04/15/2026,02/28/2026,,Full Sun,5 gallon - currant,,,,,,,,
68,PL-018,Kellogg's Breakfast,Tomato,,Annual,Growing,LOC-01,04/15/2026,02/28/2026,,Full Sun,15 gallon - beefsteak,,,,,,,,
69,PL-019,Alice's Dream,Tomato,,Annual,Growing,LOC-01,04/15/2026,02/28/2026,,Full Sun,15 gallon - beefsteak,,,,,,,,
70,PL-020,Sart Roloise,Tomato,,Annual,Growing,LOC-01,04/15/2026,02/28/2026,,Full Sun,15 gallon - beefsteak,,,,,,,,
71,PL-021,Bosque Blue Bumblebee,Tomato,,Annual,Growing,LOC-01,04/15/2026,02/28/2026,,Full Sun,10 gallon - cherry,,,,,,,,
72,PL-022,3945,Tomato,,Annual,Growing,LOC-01,04/15/2026,02/28/2026,,Full Sun,15 gallon - beefsteak,,,,,,,,
