id,Source ID,Source Name,Source Type,Contact / URL,Year Acquired,Seed Harvest Year,Link To Plant,Parent A (Breeding),Parent B (Breeding),Notes
3,SRC-001,Seed Savers,Vendor,https://shop.seedsavers.org/grandma-kirksey-organic-pepper,2026,,,,,
4,SRC-002,Territorial Seed,Vendor,https://territorialseed.com/products/pepper-red-mushroom?variant=31339596972131,2026,,,,,
5,SRC-003,Territorial Seed,Vendor,https://territorialseed.com/products/pepper-italian-sweet?variant=43566142423214,2026,,,,,
6,SRC-004,Territorial Seed,Vendor,https://territorialseed.com/products/pepper-habanero?variant=12788010713187,2026,,,,,
7,SRC-005,Territorial Seed,Vendor,https://territorialseed.com/products/buffy?variant=43531974475950,2026,,,,,
9,SRC-007,Seed Savers,Vendor,https://shop.seedsavers.org/fatalii-pepper,2026,,,,,
10,SRC-008,Seed Savers,Vendor,https://shop.seedsavers.org/king-of-the-north-organic-pepper,2026,,,,,
11,SRC-009,Seed Savers,Vendor,https://shop.seedsavers.org/purple-beauty-pepper,2026,,,,,
12,SRC-010,Seed Savers Exchange,Seed Trade,https://exchange.seedsavers.org/listing?p4_listing_id=835A98FA-1A3E-4A33-AE35-1D1A8BBFE4C8,2026,,,,,
13,SRC-011,Seed Savers Exchange,Seed Trade,https://exchange.seedsavers.org/listing?p4_listing_id=57A34CC3-C06B-42B8-9D2C-BE677AD9FD34,2026,,,,,
14,SRC-012,Seed Savers,Vendor,https://shop.seedsavers.org/miniature-yellow-bell-organic-pepper,2026,,,,,
15,SRC-013,Seed Savers,Vendor,https://shop.seedsavers.org/golden-treasure-pepper,2026,,,,,
16,SRC-014,Seed Savers Exchange,Seed Trade,https://exchange.seedsavers.org/listing?p4_listing_id=919C37F9-EF4B-4540-9C77-E8B06B794423,2026,,,,,
17,SRC-015,Territorial Seed,Vendor,https://territorialseed.com/products/tomato-sungold?variant=12786162958435,2026,,,,,
18,SRC-016,Territorial Seed,Vendor,https://territorialseed.com/products/tomato-sweet-pea-currant?variant=12786172067939,2026,,,,,
19,SRC-017,Territorial Seed,Vendor,https://territorialseed.com/products/tomato-kelloggs-breakfast?variant=12786171838563,2026,,,,,
20,SRC-018,Seed Savers Exchange,Seed Trade,https://exchange.seedsavers.org/listing?p4_listing_id=3107AB22-C0C0-46A0-8721-0B9883A3F737,2026,,,,,
21,SRC-019,Seed Savers Exchange,Seed Trade,https://exchange.seedsavers.org/listing?p4_listing_id=8FD0E2E9-12A7-4D87-8B12-F5BD8773AE92,2026,,,,,
22,SRC-020,Seed Savers Exchange,Seed Trade,https://exchange.seedsavers.org/listing?p4_listing_id=80A6EECC-7C9A-4D85-96B2-1E7845826957,2026,,,,,
23,SRC-021,Doug Oster,Vendor,https://www.dougoster.com/doug-oster/the-story-of-the-3945-tomato-found-on-wwii-battlefield,2026,,,,,
24,SRC-022,Territorial Seed,Vendor,https://territorialseed.com/products/squash-summer-sunburst?variant=12786142937187,2026,,PL-028,,,
25,SRC-023,Territorial Seed,Vendor,https://territorialseed.com/products/eggplant-patio-baby?variant=12791441391715,2026,,PL-029,,,
26,SRC-024,Territorial Seed,Vendor,https://territorialseed.com/products/fig-olympian?variant=undefined,2026,,PL-032,,,
27,SRC-006,Territorial Seed,Vendor,https://territorialseed.com/products/pepper-arapaho?variant=undefined,2026,,,,,
28,SRC-025,3rd Party Seller (free seed),Seed Trade,,2026,,,,,Not Josh's cross - received as free seed experiment from 3rd party seller.
